language,speedup,n_utts,wer_micro,cer_micro,wer_macro,cer_macro
en_us,1.0,645,0.06640460480134774,0.027385712221205262,0.06828917919506915,0.027767040243166476
en_us,1.5,645,0.09490383265478029,0.04272845512789633,0.09757672639258448,0.044019406381730894
en_us,2.0,645,0.3944967008283027,0.24649549592947637,0.3909539119042314,0.2383653032050702
en_us,2.5,645,1.6398287238523095,1.2189773110458115,1.6676516376170505,1.225773477825302
en_us,3.0,645,2.3112452618278816,1.7432800231225012,2.2955057363977316,1.730972290321472
es_419,1.0,903,0.053351334872174555,0.01704056500192884,0.05619611442130789,0.01816059241322069
es_419,1.5,903,0.08083271634510691,0.02760467669663788,0.0843632208333191,0.029160143478714578
es_419,2.0,903,0.3571708549279213,0.18025757440873616,0.39933335207145787,0.21276703771786293
es_419,2.5,903,1.9945559862375333,1.4289964093890026,2.246245820064235,1.5642003449554802
es_419,3.0,903,3.2446757545403075,2.4779296121546635,3.369374401100251,2.605698692967819
sv_se,1.0,751,0.20586055911081172,0.06093982564320646,0.21622493009281318,0.06269758339336842
sv_se,1.5,751,0.3081845739306164,0.10617690835636828,0.3249699206540409,0.10985178794891527
sv_se,2.0,751,0.7390367126978781,0.3843185200935573,0.7938443913633464,0.40099382556459373
sv_se,2.5,751,2.067564836645335,1.4664788432915161,2.196436379613146,1.5157038980053807
sv_se,3.0,751,3.472414954530145,2.3769189878800767,3.4512369582914024,2.342957311862755
