language,speedup,n_utts,wer_micro,cer_micro,wer_macro,cer_macro
en_us,1.0,100,0.04814004376367615,0.0189555705401963,0.04560887858997271,0.018163526525392472
en_us,1.5,100,0.06433260393873086,0.027197122948977297,0.0647422828468941,0.027170233176205517
en_us,2.0,100,0.15973741794310722,0.08638645388476811,0.16621346327316078,0.09047941034920216
en_us,2.5,100,0.8678336980306346,0.5793811343373043,0.8511012750217628,0.5839909792191981
en_us,3.0,100,3.441575492341357,2.5807297520041956,3.8592342695293893,2.9027044417548664
es_419,1.0,100,0.02546296296296296,0.0076275121045300785,0.02734688058773422,0.008095422748256066
es_419,1.5,100,0.037037037037037035,0.012137693175034821,0.03876015797182967,0.012765651789874046
es_419,2.0,100,0.17669753086419754,0.10035152881873052,0.15237741827030324,0.07681451298240384
es_419,2.5,100,1.6493055555555556,1.059162963454268,2.227297723842238,1.3784342142613546
es_419,3.0,100,2.9016203703703702,2.001923459574186,3.72371365913306,2.5239362108305032
sv_se,1.0,100,0.09072164948453608,0.026136829168373617,0.09343735143768413,0.02611335326109491
sv_se,1.5,100,0.15,0.04760344121261778,0.1588049138636895,0.04826337636734115
sv_se,2.0,100,0.42371134020618556,0.19090536665301105,0.45076458509771006,0.20010633311992113
sv_se,2.5,100,1.8453608247422681,1.4077836952068825,2.3804383681055326,1.6823609403186368
sv_se,3.0,100,3.2530927835051546,2.1615731257681277,3.5332425674106474,2.319744199133713
